kode,string
139,"PDRB Provinsi Maluku Utara berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
140,"PDRB Provinsi Nusa Tenggara Barat berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
141,"PDRB Provinsi Nusa Tenggara Timur berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
142,"PDRB Provinsi Papua berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
143,"PDRB Provinsi Papua Barat berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
144,"PDRB Provinsi Riau berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
145,"PDRB Provinsi Sulawesi Barat berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
146,"PDRB Provinsi Sulawesi Selatan berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
147,"PDRB Provinsi Sulawesi Tengah berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
148,"PDRB Provinsi Sulawesi Tenggara berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
149,"PDRB Provinsi Sulawesi Utara berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
150,"PDRB Provinsi Sumatera Barat berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
151,"PDRB Provinsi Sumatera Selatan berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
152,"PDRB Provinsi Sumatera Utara berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
153,Total PDRB Provinsi Aceh yang berasal dari PDRB PENDAPATAN adalah senilai 134554529.480085 rupiah
154,Total PDRB Provinsi Aceh yang berasal dari PDRB PENGELUARAN adalah senilai 180528938.116437 rupiah
155,Total PDRB Provinsi Aceh yang berasal dari PDRB PRODUKSI adalah senilai 134554529.480085 rupiah
156,Total PDRB Provinsi Bali yang berasal dari PDRB PENDAPATAN adalah senilai 192826509.590831 rupiah
157,Total PDRB Provinsi Bali yang berasal dari PDRB PENGELUARAN adalah senilai 197961772.384460 rupiah
158,Total PDRB Provinsi Bali yang berasal dari PDRB PRODUKSI adalah senilai 192826509.590832 rupiah
159,Total PDRB Provinsi Banten yang berasal dari PDRB PENDAPATAN adalah senilai 603234778.007077 rupiah
160,Total PDRB Provinsi Banten yang berasal dari PDRB PENGELUARAN adalah senilai 577704492.413159 rupiah
